id,sciName,mainCommonName,otherCommonNames,majorType,majorSubtype,order,family,subfamily,tribe,genus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authoritySpeciesFullcitation,authoritySpeciesLink,holotypeVoucher,taxonomyNotes,taxonomyNotesCitation,biogeographicRealm,MSW3_matchtype,MSW3_sciName,extinct,domestic,flagged,newSppSinceMSW3,
1,Abditomys_latidens,Luzon Broad-toothed Rat,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,MURINAE,RATTINI,Abditomys,latidens,Sanborn,1952,,,FMNH62347,NA,NA,Indomalaya,sciname match,Abditomys_latidens,0,0,0,0,
2,Abeomelomys_sevia,Papuan Highland Brush Mouse,Highland Brush Mouse|Highland Pogonomelomys|Menzies’s Mouse|Papuan Abeomelomys,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,MURINAE,HYDROMYINI,Abeomelomys,sevia,Tate & Archbold,1935,,,AMNHM-79755,NA,NA,Australasia/Oceania,sciname match,Abeomelomys_sevia,0,0,0,0,
3,Abrawayaomys_ruschii,Ruschi’s Spiny Mouse,Ruschi’s Rat,Placentalia,Boreoeutheria,RODENTIA,CRICETIDAE,SIGMODONTINAE,INCERTAE,Abrawayaomys,ruschii,Cuhna & Cruz,1979,,,,includes chebezi,"Percequillo, A. R., Braga, C. A. D. C., Brandú, M. V., Abreu-Júnior, E. F. D., Gualda-Barros, J., Lessa, G. M., ... & Hingst-Zaher, E. (2017). The genus Abrawayaomys Cunha and Cruz, 1979 (Rodentia: Cricetidae: Sigmodontinae): geographic variation and species definition. Journal of Mammalogy, 98(2), 438-455.",Neotropic,sciname match,Abrawayaomys_ruschii,0,0,0,1,
4,Abrocoma_bennettii,Bennett’s Chinchilla Rat,Chilean Chinchilla Rat,Placentalia,Boreoeutheria,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,bennettii,Waterhouse,1837,,,,NA,NA,Neotropic,sciname match,Abrocoma_bennettii,0,0,0,0,
5,Abrocoma_boliviensis,Bolivian Chinchilla Rat,,Placentalia,Boreoeutheria,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,boliviensis,Glanz & Anderson,1990,,,,NA,NA,Neotropic,sciname match,Abrocoma_boliviensis,0,0,0,0,
6,Abrocoma_budini,Budin’s Chinchilla Rat,,Placentalia,Boreoeutheria,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,budini,Thomas,1920,,,,NA,NA,Neotropic,sciname match,Abrocoma_budini,0,0,0,0,
7,Abrocoma_cinerea,Ashy Chinchilla Rat,,Placentalia,Boreoeutheria,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,cinerea,Thomas,1919,,,,NA,NA,Neotropic,sciname match,Abrocoma_cinerea,0,0,0,0,
8,Abrocoma_famatina,Famatina Chinchilla Rat,,Placentalia,Boreoeutheria,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,famatina,Thomas,1920,,,,NA,NA,Neotropic,sciname match,Abrocoma_famatina,0,0,0,0,
9,Abrocoma_schistacea,Sierra del Tontal Chinchilla Rat,Sierra Tontal Chinchilla Rat,Placentalia,Boreoeutheria,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,schistacea,Thomas,1921,,,,"commonly spelled 'shistacea,' correctly spelled 'schistacea'","Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.",Neotropic,manual,Abrocoma_shistacea,0,0,0,0,
10,Abrocoma_uspallata,Uspallata Chinchilla Rat,,Placentalia,Boreoeutheria,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,uspallata,Braun & Mares,2002,,,,NA,NA,Neotropic,sciname match,Abrocoma_uspallata,0,0,0,0,
